consumer_id,n_purchases,total_spend,mean_ticket,median_ticket,ticket_cv,share_retail,share_food,share_hotels_rest,share_travel,share_clothing,share_home,share_phones_web,share_repairs,share_cash_advance,share_services,weekday_concentration,active_months,spend_per_active_month,post_payday_share,n_bills,total_bills,bill_utilities_n,bill_telecom_n,bill_rent_n,bill_mortgage_n,bill_consumer_loan_n,late_fee_n,late_fee_sum,total_income,mean_income_credit,n_income,cur_balance,cur_total_in,cur_total_out,LEAK_cur_n_entries,balance_std_proxy,LEAK_debt_service_n,LEAK_debt_service_sum,LEAK_overdraft_n,LEAK_credit_draw_n,LEAK_credit_draw_sum,LEAK_savings_balance,LEAK_pension_balance,LEAK_debt_balance,LEAK_min_balance_proxy
118,461,19872.96,43.108373101952274,25.78,2.297631498677346,0.23956823744424588,0.1819351520860506,0.07652609374748402,0.09173167962900343,0.06560119881487207,0.04683549909022108,0.04486095679757822,0.17238649904191425,0.04506424810395633,0.03549043524467417,0.002688591926026773,24,19.208333333333332,0.3522615654638262,48.0,7728.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,54518.89,2370.3865217391303,23,29189.54,54518.94,27601.02,532,9089.755545052636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.7725537903557
119,437,15496.92,35.462059496567505,25.38,0.9159944432514461,0.2952051117254268,0.22530928726482424,0.11800280313765575,0.04004860320631455,0.08233571574222492,0.07678106359199119,0.04799405301182429,0.013398146212279603,0.07598025930313895,0.024944956804319827,0.0015704967259010383,24,18.208333333333332,0.38668393461410394,24.0,2976.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,70440.48,3062.6295652173912,23,2142.7,70440.54,71232.86,507,16075.113360455289,0.0,0.0,0.0,0.0,0.0,0.0,52759.91,0.0,2137.8523188526965
120,440,17100.84,38.865545454545455,24.284999999999997,1.2986553088431523,0.26549514526771784,0.15840508419469454,0.10510653277850679,0.07308062060109329,0.04647607953761335,0.08653902381403487,0.06731423719536585,0.09418309276035564,0.05503998633985231,0.048360197510765555,0.002765195368550022,24,18.333333333333332,0.3283698344642719,24.0,960.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,38546.88,1675.951304347826,23,778.42,38546.93,39374.63,509,6476.679532106846,0.0,0.0,0.0,0.0,0.0,0.0,21313.74,0.0,1112.7820967077448
121,436,16532.97,37.91965596330275,25.815,1.2913736053482603,0.268761148178458,0.21149497035317916,0.14372190840484197,0.07351855111332085,0.06116747323681106,0.06377257080851172,0.0321303431869773,0.028986322481683573,0.0515841981204829,0.0648625141157336,0.0039632093341722685,24,18.166666666666668,0.38263240059106135,48.0,3936.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,58510.799999999996,2543.9478260869564,23,40479.79,58510.86,20469.02,507,11546.438247630826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.422421899522
122,440,15957.58,36.267227272727276,25.915,0.9641977480459606,0.2537558953174604,0.19260815236395493,0.12460535996059553,0.07939173734363231,0.06705402698905473,0.06872909300783703,0.06749582330152817,0.0174656808864502,0.07840599890459582,0.05048823192489087,0.0022938797445491987,24,18.333333333333332,0.3799730284917888,72.0,14496.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,82500.23000000001,3586.9665217391307,23,47322.12,82500.14,38615.53,548,13950.68460255004,13.0,8162.05,0.0,0.0,0.0,0.0,0.0,0.0,1723.0260342579136
123,446,17980.79,40.31567264573991,24.68,2.177243839444423,0.2283715009184802,0.1932929532017225,0.08673256291853694,0.179703450182111,0.06715611494266936,0.06008523540956766,0.031089290292584473,0.07484765686046052,0.04734052285800568,0.03138071241586159,0.004663329082922774,24,18.583333333333332,0.37297193282386365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46057.27,2002.4899999999998,23,1593.66,46057.26,46466.09,492,8500.603571479027,0.0,0.0,0.0,0.0,0.0,28485.4,0.0,0.0,1517.0595091840541
124,452,17577.24,38.88769911504425,27.37,1.0734363198739225,0.2580854559646452,0.19430354253568824,0.10086680275174033,0.08256017440735862,0.09629725713479478,0.07983619726418938,0.04743805056994159,0.04785506712089043,0.051609922832025965,0.041147529418725584,0.0018488492838197867,24,18.833333333333332,0.357637490299956,24.0,960.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,51171.11,2224.830869565217,23,1375.63,51171.01,51927.51,522,9925.842749324995,0.0,0.0,0.0,0.0,0.0,33390.19,0.0,0.0,1569.4452835264483
125,447,16164.24,36.161610738255035,24.11,1.1282054497662233,0.26053189014763456,0.1806357737821265,0.061524080315560774,0.14131193300767622,0.0720998945821146,0.05262356906356254,0.0452381305894988,0.042405334243985494,0.08709101077440079,0.05653838349343985,0.003225709453654191,24,18.625,0.3494435865837181,48.0,3936.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,97269.6,4229.113043478261,23,3400.19,97269.56,97922.27,554,21279.080767328625,13.0,7187.76,0.0,0.0,0.0,0.0,70634.14,0.0,2886.2483889020223
126,467,18548.52,39.71845824411135,26.57,1.2366526270810962,0.2469442305909043,0.1966507300852036,0.11149514893910677,0.05529012557336112,0.07756036600224708,0.06925619941644941,0.050069762978393974,0.054905728327650956,0.07839978607457632,0.059427922012106636,0.0017104494843117601,24,19.458333333333332,0.3283178388356591,72.0,14496.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,99048.58,4306.46,23,3092.55,99048.64,100262.56,598,17384.31911237526,13.0,10403.3,0.0,0.0,0.0,0.0,56814.81,0.0,2209.1726236237696
127,423,15418.62,36.450638297872345,25.46,1.1622424328679462,0.33394622865081314,0.20395275322953677,0.08955276153118762,0.08752209990258532,0.06008708950606475,0.08070501769937906,0.044791297794484854,0.05439981009973655,0.011130697818611524,0.03391224376760048,0.0037432832525152726,24,17.625,0.38569405044031174,48.0,3936.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,62083.69,2699.2908695652177,23,2018.23,62083.79,62652.38,517,13383.383131827468,0.0,0.0,0.0,0.0,0.0,43297.76,0.0,0.0,1991.5643960218063
